ID,Product ID,Price,Discount,Stock,Is Active,Is Stock,Weight,Unit,All Types,Is Deal
2665,400,188,0,0,FALSE,FALSE,,,,FALSE
2889,839,218,0,0,TRUE,TRUE,,,,FALSE
2112,546,285,0,0,TRUE,TRUE,,,,FALSE
1051,797,125,0,0,FALSE,TRUE,,,,FALSE
1193,130,1320,0,0,TRUE,TRUE,,,,FALSE
1084,789,398,0,2,FALSE,TRUE,,,,FALSE
356,80,263,0,0,FALSE,TRUE,,,,FALSE
2767,94,1275,10,0,FALSE,FALSE,,,,FALSE
3067,96,3375,0,0,FALSE,TRUE,,,,FALSE
2761,205,855,0,0,FALSE,FALSE,,,,FALSE
1673,134,180,30,38,FALSE,TRUE,,,,FALSE
2768,94,638,5,0,FALSE,FALSE,,,,FALSE
3499,466,722,0,0,FALSE,TRUE,,,,FALSE
849,190,210,0,0,FALSE,TRUE,,,,FALSE
77,77,645,0,0,TRUE,TRUE,,,,FALSE
355,80,360,0,0,FALSE,TRUE,,,,FALSE
1054,795,173,0,0,FALSE,TRUE,,,,FALSE
2648,792,855,0,0,FALSE,TRUE,,,,FALSE
3180,444,326,0,0,FALSE,TRUE,,,,FALSE
453,789,315,0,0,FALSE,TRUE,,,,FALSE
3068,74,330,0,0,FALSE,TRUE,,,,FALSE
3140,433,3645,0,0,TRUE,TRUE,,,,FALSE
3282,370,3300,0,0,FALSE,TRUE,,,,FALSE
1342,334,402,14,0,FALSE,TRUE,,,,FALSE
897,232,1425,0,0,FALSE,TRUE,,,,FALSE
3181,444,195,0,0,FALSE,TRUE,,,,FALSE
3060,163,6480,0,0,TRUE,FALSE,,,,FALSE
2968,208,210,0,0,TRUE,FALSE,,,,FALSE
3141,433,4245,0,0,TRUE,TRUE,,,,FALSE
1112,260,285,0,0,FALSE,TRUE,,,,FALSE
1049,797,125,0,0,FALSE,TRUE,,,,FALSE
2739,105,161,0,0,FALSE,TRUE,,,,FALSE
3301,829,80,0,0,TRUE,TRUE,,,,FALSE
3070,256,7344,0,0,FALSE,TRUE,,,,FALSE
898,233,150,0,0,TRUE,FALSE,,,,FALSE
521,105,161,0,0,FALSE,TRUE,,,,FALSE
824,190,120,0,0,FALSE,TRUE,,,,FALSE
1237,199,438,0,0,FALSE,FALSE,,,,FALSE
96,774,1575,0,-1496,TRUE,TRUE,,,,FALSE
1819,72,164,0,-7,FALSE,FALSE,,,,FALSE
918,240,491,0,0,TRUE,TRUE,,,,FALSE
2604,205,870,20,0,FALSE,FALSE,,,,FALSE
2481,328,437,0,0,FALSE,TRUE,,,,FALSE
2605,205,5025,0,0,FALSE,FALSE,,,,FALSE
1215,288,282,0,0,FALSE,TRUE,,,,FALSE
3454,326,4695,0,0,FALSE,TRUE,,,,FALSE
2970,208,210,0,0,TRUE,TRUE,,,,FALSE
711,159,278,0,0,TRUE,TRUE,,,,FALSE
3071,96,6642,0,0,FALSE,TRUE,,,,FALSE
571,783,855,0,0,TRUE,TRUE,,,,FALSE
1305,193,330,0,0,FALSE,TRUE,,,,FALSE
3192,326,1838,0,0,FALSE,FALSE,,,,FALSE
3072,96,7290,0,0,FALSE,TRUE,,,,FALSE
1578,6,765,0,0,TRUE,TRUE,,,,FALSE
802,175,90,0,0,FALSE,TRUE,,,,FALSE
3461,459,1200,0,0,FALSE,TRUE,,,,FALSE
970,258,240,0,0,TRUE,TRUE,,,,FALSE
2971,208,210,0,0,TRUE,TRUE,,,,FALSE
2421,346,1500,0,0,TRUE,FALSE,,,,FALSE
85,35,720,0,0,TRUE,TRUE,,,,FALSE
3150,442,585,0,0,FALSE,FALSE,,,,FALSE
2868,96,390,0,0,FALSE,TRUE,,,,FALSE
1358,130,1350,0,0,FALSE,TRUE,,,,FALSE
2790,326,5729,0,0,TRUE,TRUE,,,,FALSE
953,252,315,0,0,TRUE,TRUE,,,,FALSE
1124,193,319,0,0,TRUE,TRUE,,,,FALSE
2386,204,7094,15,0,FALSE,FALSE,,,,FALSE
1128,164,250,0,0,TRUE,TRUE,,,,FALSE
533,111,161,0,0,FALSE,FALSE,,,,FALSE
1289,785,4350,0,139,TRUE,FALSE,,,,FALSE
2121,241,165,0,1,FALSE,TRUE,,,,FALSE
