id,order_id,agent_user_id
3116,154730,20282
3084,154559,45342
3117,154738,18871
3113,154714,45342
3198,155123,16781
3693,160397,20282
2768,152054,46943
2776,152091,44742
2773,152081,20773
5202,176265,53060
4844,171696,44736
5208,176309,45342
3295,156410,18871
5893,181792,16231
3716,160541,47067
3767,160748,11312
3796,160879,18871
3778,160787,45342
3293,156392,22515
3218,155231,52140
3501,158414,43385
4846,171703,46908
5612,179255,20282
3292,156370,16781
3828,161091,44742
2774,152086,45342
3215,155217,52140
3297,156430,18871
3818,161045,45342
3629,159469,45342
3827,161082,44742
5210,176316,43316
2664,151521,37402
4847,171706,19311
2683,151603,11310
2643,151432,37402
2648,151445,45342
2633,151397,37402
2694,151658,18871
2703,151696,37402
2706,151711,43385
2672,151563,49026
2705,151708,17205
2714,151741,11312
2668,151534,17205
2718,151760,17205
2627,151377,17205
2725,151802,17205
4327,166246,19311
2756,151971,45342
2673,151564,17205
2765,152023,20282
2641,151428,17205
2750,151937,17205
3195,155109,47070
2802,152205,20282
2783,152117,20282
3298,156455,16781
2808,152248,19311
2782,152114,19311
2800,152199,51496
2788,152131,45342
2807,152246,11312
2795,152174,43385
2815,152301,47070
3180,155036,46943
2799,152189,20282
2828,152386,18871
4337,166879,20282
3661,159756,52140
5203,176275,45342
2801,152201,16781
4849,171721,46943
2833,152513,20773
4338,166880,20282
3289,156168,52140
2827,152373,16781
2794,152160,19311
3244,155365,46913
6695,187925,44742
2834,152533,11310
4851,171730,46943
5732,180051,43316
6707,188009,44742
2830,152404,20773
2805,152232,16781
2848,152739,43427
2837,152615,18871
2798,152188,20773
6696,187929,44742
5894,181797,52140
3203,155149,22515
4852,171745,19311
5744,180096,19311
5479,178192,53060
5910,182025,45342
2839,152663,11310
2825,152345,16781
4853,171750,47070
2819,152328,47070
5480,178193,17205
5626,179301,11310
3287,156079,43427
2842,152695,11310
3304,156548,52140
3518,158971,46908
2820,152332,18871
3780,160795,37402
3711,160521,20282
2821,152333,18871
2826,152352,47067
2843,152704,11310
2824,152344,44742
3650,159630,37402
5024,173973,30836
3666,159783,22515
3723,160572,44736
3816,161024,37402
3720,160562,20282
3665,159775,46908
2846,152723,11310
5747,180104,45342
3728,160592,11310
3840,161367,22515
3575,159227,20282
3580,159253,43427
3747,160647,20282
3566,159202,17205
2829,152395,37402
2849,152744,43427
5731,180048,22515
5630,179309,54689
5487,178217,53060
3675,159882,46913
3554,159140,18871
3681,159929,49026
5213,176370,20282
3533,159044,45342
3547,159119,45342
3541,159075,11312
