order_id,cancellation_reason_id,cancellation_reason
185795,55,"SKU's NA"
185780,60,"Customer Has Already Purchased It From Somewhere Else"
185744,55,"SKU's NA"
185732,58,"Customer Does Not Have Cash"
185729,55,"SKU's NA"
185724,55,"SKU's NA"
185722,55,"SKU's NA"
185716,30,"Retailer's Location is Incorrect"
185715,28,"Incomplete Order"
185713,28,"Incomplete Order"
185705,53,"Late Delivery"
185704,55,"SKU's NA"
185701,53,"Late Delivery"
185689,53,"Late Delivery"
185688,53,"Late Delivery"
185685,55,"SKU's NA"
185681,55,"SKU's NA"
185663,29,"No Service Area"
185660,58,"Customer Does Not Have Cash"
185659,53,"Late Delivery"
185630,53,"Late Delivery"
185624,28,"Incomplete Order"
185619,59,"Shop Closed And Customer Not Responding"
185619,59,"Shop Closed And Customer Not Responding"
185617,30,"Retailer's Location is Incorrect"
185614,57," Order Cancel by salesman app issu Other"
185607,53,"Late Delivery"
185596,59,"Shop Closed And Customer Not Responding"
185527,30,"Retailer's Location is Incorrect"
185522,30,"Retailer's Location is Incorrect"
185518,53,"Late Delivery"
185505,55,"SKU's NA"
185498,52," Some Issue With salesman Mobile  Other"
185498,52," Some Issue With salesman Mobile  Other"
185498,60,"Customer Has Already Purchased It From Somewhere Else"
185494,58,"Customer Does Not Have Cash"
185482,58,"Customer Does Not Have Cash"
185465,59,"Shop Closed And Customer Not Responding"
185460,59,"Shop Closed And Customer Not Responding"
185455,58,"Customer Does Not Have Cash"
185452,53,"Late Delivery"
185443,58,"Customer Does Not Have Cash"
185431,62,"Customer Claims That He Has Already Received The Same Before"
185408,55,"SKU's NA"
185407,59,"Shop Closed And Customer Not Responding"
185398,59,"Shop Closed And Customer Not Responding"
185396,60,"Customer Has Already Purchased It From Somewhere Else"
185381,30,"Retailer's Location is Incorrect"
185377,55,"SKU's NA"
185377,55,"SKU's NA"
185377,55,"SKU's NA"
185354,53,"Late Delivery"
185349,53,"Late Delivery"
185316,30,"Retailer's Location is Incorrect"
185307,58,"Customer Does Not Have Cash"
185285,55,"SKU's NA"
185283,55,"SKU's NA"
185282,55,"SKU's NA"
185279,55,"SKU's NA"
185265,60,"Customer Has Already Purchased It From Somewhere Else"
185258,59,"Shop Closed And Customer Not Responding"
185256,59,"Shop Closed And Customer Not Responding"
185255,30,"Retailer's Location is Incorrect"
185250,29,"No Service Area"
185248,53,"Late Delivery"
185227,30,"Retailer's Location is Incorrect"
185206,30,"Retailer's Location is Incorrect"
185204,29,"No Service Area"
185199,30,"Retailer's Location is Incorrect"
185190,60,"Customer Has Already Purchased It From Somewhere Else"
185183,58,"Customer Does Not Have Cash"
185177,59,"Shop Closed And Customer Not Responding"
185174,49,"Driver got late"
185174,58,"Customer Does Not Have Cash"
185160,58,"Customer Does Not Have Cash"
185133,53,"Late Delivery"
185124,61,"Customer Claims That He Hasn't Placed The Order"
185117,53,"Late Delivery"
185114,57," order cancel order not deliver by salesman side Other"
185111,59,"Shop Closed And Customer Not Responding"
185110,61,"Customer Claims That He Hasn't Placed The Order"
185109,52," Some Issue With salesman Mobile  Other"
185109,52," Some Issue With salesman Mobile  Other"
185109,60,"Customer Has Already Purchased It From Somewhere Else"
185106,29,"No Service Area"
185096,60,"Customer Has Already Purchased It From Somewhere Else"
185094,57," inaccessible area Other"
185088,53,"Late Delivery"
185072,55,"SKU's NA"
185055,30,"Retailer's Location is Incorrect"
185054,59,"Shop Closed And Customer Not Responding"
185053,58,"Customer Does Not Have Cash"
185030,60,"Customer Has Already Purchased It From Somewhere Else"
185027,57," inaccessible area Other"
185020,53,"Late Delivery"
185018,58,"Customer Does Not Have Cash"
185010,30,"Retailer's Location is Incorrect"
184995,53,"Late Delivery"
184995,49,"Driver got late"
184993,30,"Retailer's Location is Incorrect"
184973,55,"SKU's NA"
184970,53,"Late Delivery"
184955,61,"Customer Claims That He Hasn't Placed The Order"
184953,55,"SKU's NA"
184951,58,"Customer Does Not Have Cash"
184946,53,"Late Delivery"
184943,60,"Customer Has Already Purchased It From Somewhere Else"
184937,29,"No Service Area"
184935,58,"Customer Does Not Have Cash"
184933,63," Actual rate is higher than what was communicated Other"
184926,53,"Late Delivery"
184922,53,"Late Delivery"
184905,49,"Driver got late"
184905,53,"Late Delivery"
184870,30,"Retailer's Location is Incorrect"
184865,49,"Driver got late"
184865,55,"SKU's NA"
184862,55,"SKU's NA"
184855,53,"Late Delivery"
184839,57," shop was closed Other"
184829,30,"Retailer's Location is Incorrect"
184802,30,"Retailer's Location is Incorrect"
184800,58,"Customer Does Not Have Cash"
184788,59,"Shop Closed And Customer Not Responding"
184778,55,"SKU's NA"
184763,63," Actual rate is higher than what was communicated Other"
184762,59,"Shop Closed And Customer Not Responding"
184760,55,"SKU's NA"
184756,56,"Damaged/short expiry"
184747,57," shop closed Other"
184740,57," Entry Pass Issue Other"
184739,61,"Customer Claims That He Hasn't Placed The Order"
184731,57," Not Deliver by Driver Other"
184727,28,"Incomplete Order"
184711,63," Actual rate is higher than what was communicated Other"
184672,57," Not Deliver by Driver Other"
184664,53,"Late Delivery"
184651,29,"No Service Area"
184648,53,"Late Delivery"
184642,29,"No Service Area"
184634,57," inaccessible area Other"
184626,28,"Incomplete Order"
184617,53,"Late Delivery"
184614,53,"Late Delivery"
184612,53,"Late Delivery"
184598,30,"Retailer's Location is Incorrect"
184593,53,"Late Delivery"
184592,58,"Customer Does Not Have Cash"
184589,29,"No Service Area"
184587,58,"Customer Does Not Have Cash"
184562,53,"Late Delivery"
184558,55,"SKU's NA"
184547,57," order cancel out of area androon side Other"
184516,30,"Retailer's Location is Incorrect"
184510,53,"Late Delivery"
184500,53,"Late Delivery"
184496,30,"Retailer's Location is Incorrect"
184493,53,"Late Delivery"
184483,53,"Late Delivery"
184481,53,"Late Delivery"
184480,53,"Late Delivery"
184479,53,"Late Delivery"
184477,53,"Late Delivery"
184476,53,"Late Delivery"
184475,55,"SKU's NA"
184474,53,"Late Delivery"
184472,28,"Incomplete Order"
184456,61,"Customer Claims That He Hasn't Placed The Order"
184455,55,"SKU's NA"
184448,61,"Customer Claims That He Hasn't Placed The Order"
184440,58,"Customer Does Not Have Cash"
